SAMPLEID,ANSWERDATE,性別,年代,居住地方,結婚,子ども,世帯年収,職業,建築タイプ,,,,,,,,,,Q7S1,Q7S7,Q7S8,Q7S9,Q7S10,Q7S11,Q8S12,Q9S4,Q9S5,Q9S15,Q10S1,Q10S2,Q10S3,Q10S4,Q10S5,Q10S6,Q10S7,Q10S8,Q10S9,Q10S10,Q10S11,Q10S12,Q10S13,Q10S14,Q10S15,Q11S4,Q11S5,Q11S6,Q11S7,Q11S11,Q11S12,Q11S13,Q11S15,Q12S1,Q7S2,Q7S3,Q7S4,Q7S5,Q7S6,Q7S12,Q7S13,Q7S14,Q7S15,Q8S1,Q8S2,Q8S3,Q8S4,Q8S5,Q8S6,Q8S7,Q8S8,Q8S9,,Q8S11,Q8S13,Q8S14,Q8S15,Q9S1,Q9S2,Q9S3,Q9S6,Q9S7,Q9S8,Q9S9,Q9S10,Q9S11,Q9S12,Q9S13,Q9S14,Q11S1,Q11S2,Q11S3,Q11S8,Q11S9,Q11S14,Q12S2,Q12S3,Q12S4,Q12S5,Q12S6,Q12S7
23444664,2024/12/9 22:09,女性,20代,北海道・東北地方,未婚,子どもなし,400万未満,会社員,住宅,1,3,1,-4.875,1,1,1,1,1,4,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,4,1,5,1,1,5,2,2,5,5,5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,1,2,5,5,1,1,4,1,1,4,5,1,4,1,1,1,3,3,1,4,1,1,1,4
29065077,2024/12/10 17:16,女性,20代,関東地方,未婚,子どもなし,400〜800万未満,自営業・自由業,住宅,2.6,3.75,3.25,-2.25,3.5,5,2.5,3.5,3.625,2,3,3,3,3,2,3,4,4,3,3,2,1,1,1,2,3,2,2,2,2,2,2,3,3,2,3,1,4,3,3,3,5,4,2,3,3,4,4,2,2,3,4,4,3,3,2,3,3,3,2,2,3,3,2,3,3,4,3,4,2,2,1,1,3,3,3,3,3,4,4,2,3,3,5,3,3,3,3,3,3
31355204,2024/12/10 16:05,女性,20代,関東地方,未婚,子どもなし,800～1200万未満,会社員,住宅,3.2,4.5,3.375,-3,3,2.5,4,3,3.125,3,2,3,3,3,4,3,3,2,3,3,3,3,4,3,4,2,5,5,3,2,2,1,4,1,3,4,5,5,3,2,4,2,3,2,2,3,2,2,4,3,4,3,4,3,3,4,3,4,3,3,4,4,4,4,3,3,2,3,3,3,3,4,3,4,5,4,3,2,3,2,3,3,3,4,2,2,4,2,4,3
33951547,2024/12/10 16:32,女性,20代,中部地方,未婚,子どもなし,,会社員,住宅,2.8,3,1.75,-1.875,1,5,3,3,3,4,4,3,3,3,3,3,4,4,4,4,2,2,1,1,1,3,3,3,3,4,3,3,4,3,3,3,2,4,3,5,1,3,3,4,4,4,4,4,3,4,2,4,5,4,1,1,3,3,2,3,2,3,2,1,3,4,5,4,3,2,3,2,3,3,3,2,3,4,4,3,1,1,4,3,1,3,3,1,1,3
34159262,2024/12/10 0:55,女性,20代,中部地方,既婚,子どもあり,わからない,会社員,住宅,2.8,6,4.125,-3.625,3,5.5,2.5,3,3.5,3,4,4,4,3,3,5,5,3,5,3,1,1,1,1,1,3,2,1,2,5,3,3,3,3,3,5,2,5,5,2,1,5,5,4,3,3,4,4,4,4,5,4,3,4,3,1,5,4,3,3,3,5,3,4,5,5,3,2,4,3,5,5,5,5,2,5,5,5,5,3,1,5,4,2,1,1,5,1,4,5
34201260,2024/12/10 14:12,女性,20代,北海道・東北地方,既婚,子どもなし,800～1200万未満,会社員,住宅,6.8,5.5,4.75,-1,5,6.5,4.5,6,5.5,4,3,2,3,2,3,3,4,4,4,3,2,2,2,2,2,4,3,3,5,5,5,5,4,3,2,5,2,5,5,2,1,5,5,2,3,2,5,4,3,2,2,3,4,4,3,1,3,4,3,2,2,3,3,2,3,4,2,2,3,5,2,2,3,3,3,4,4,3,5,3,3,5,2,4,5,1,4,1,1,3
34667347,2024/12/10 17:38,女性,20代,中部地方,既婚,子どもあり,400〜800万未満,会社員,住宅,4.2,3.25,3.25,-3.375,2.5,5,2.5,4,3.5,4,4,3,3,3,3,2,4,4,4,4,2,2,2,2,2,2,2,3,3,4,3,3,3,3,2,4,2,4,3,3,3,3,4,3,3,3,4,4,4,4,4,3,3,3,2,2,2,3,3,2,2,2,2,2,3,4,3,3,4,4,2,2,2,2,2,2,4,3,3,3,3,4,3,3,2,3,3,1,1,3
34831435,2024/12/9 23:51,女性,20代,中部地方,未婚,子どもなし,400〜800万未満,会社員,住宅,3.4,4,2.875,-3,3.5,5,4,4,4.125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35779111,2024/12/10 17:15,女性,20代,中国・四国・九州・沖縄地方,既婚,子どもあり,400〜800万未満,会社員,住宅,4.8,4.5,2.25,-2.75,4,6,3.5,2,3.875,5,4,4,2,4,5,5,5,5,5,4,2,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,5,4,5,4,4,5,5,5,5,5,2,4,2,4,5,4,2,4,1,5,2,5,5,5,5,4,4,5,2,1,2,4,5,3,5,5,4,2,1,5,5,5,2,4,3,1,1,4
36792723,2024/12/10 14:54,女性,20代,北海道・東北地方,既婚,子どもなし,400〜800万未満,会社員,住宅,4.6,4.5,4.375,-3.625,3,5.5,3,2.5,3.5,4,4,4,3,3,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,1,2,2,4,4,4,4,3,3,4,4,4,4,4,3,4,2,1,4,2,2,3,4,3,4,4,4,4,4,4,4,3,4,1,3,4,4,3,3,3,4,4,2,4,4,3,2,3,4,1,1,3
39456767,2024/12/9 18:54,女性,20代,中部地方,未婚,子どもなし,わからない,会社員,住宅,4,4,3.125,-4,3.5,4,4,4,3.875,3,3,3,3,3,3,3,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
39863218,2024/12/10 16:22,女性,20代,関東地方,既婚,子どもあり,わからない,会社員,住宅,1.8,2.75,2.875,-3,2.5,2.5,2.5,3.5,2.75,3,4,2,2,4,4,4,3,1,3,2,2,4,3,2,2,4,2,2,3,2,4,4,1,4,2,2,2,2,2,1,2,1,3,2,3,1,2,4,3,1,2,3,5,2,3,1,1,3,3,5,2,1,4,2,2,2,2,2,3,5,3,3,5,4,3,2,2,4,2,3,3,1,2,1,3,2,1,2,2,2
40272976,2024/12/10 17:19,女性,20代,近畿地方,未婚,子どもあり,わからない,会社員,住宅,4,5.5,4.125,-3.5,2,5.5,3.5,5.5,4.125,3,4,3,4,3,4,5,5,4,4,4,5,4,4,2,3,4,3,4,4,4,4,4,3,2,4,4,4,4,4,1,5,4,4,4,4,3,4,4,4,4,5,5,5,5,3,5,4,3,4,3,2,3,3,5,5,5,5,4,5,4,3,5,4,3,3,3,5,5,4,4,2,4,4,4,3,3,4,1,4,3
40391395,2024/12/9 21:28,女性,20代,中部地方,未婚,子どもなし,,会社員,住宅,3.6,3,2.375,-4.875,1,5,1.5,1.5,2.25,3,3,2,2,2,3,3,3,2,4,2,2,1,1,1,1,4,4,2,3,4,3,3,3,3,3,3,4,4,3,3,3,3,2,2,4,2,4,5,3,1,4,4,3,3,4,2,2,2,2,1,3,3,2,2,4,4,4,2,3,4,1,2,3,3,4,3,1,3,2,4,2,3,3,3,2,4,3,3,3,2
40438209,2024/12/9 22:25,女性,20代,中部地方,未婚,子どもなし,400〜800万未満,会社員,住宅,5.2,3.5,3.125,-3,2,5,6,7,5,4,4,4,3,2,4,4,4,4,4,2,1,1,1,2,1,5,1,2,4,4,4,3,3,5,4,4,2,4,5,2,4,5,5,1,1,3,2,4,4,2,2,4,2,4,2,4,2,2,2,2,4,2,5,4,4,4,4,3,3,5,4,3,4,2,3,2,5,2,4,2,2,5,5,5,2,3,4,1,1,4
40852567,2024/12/9 16:31,女性,20代,近畿地方,既婚,子どもなし,800～1200万未満,公務員,住宅,4.8,4.5,3.625,-3.25,5,6,3,3.5,4.375,4,4,2,2,2,2,4,4,3,5,2,2,3,2,2,2,4,4,4,4,4,5,4,4,4,2,4,2,4,4,2,4,5,5,1,1,1,4,2,5,1,1,4,2,5,2,4,2,2,4,4,4,4,4,2,4,4,4,4,4,2,2,1,1,3,3,3,4,4,2,4,4,4,4,3,4,1,4,1,1,4
41163417,2024/12/10 16:13,女性,20代,北海道・東北地方,既婚,子どもあり,,公務員,住宅,4,2.75,3.25,-2.375,1.5,6.5,2,4,3.5,4,3,2,2,3,3,4,2,4,4,4,4,4,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,4,2,4,2,4,4,4,4,3,5,4,3,4,4,4,4,4,4,4,4,5,4,3,4,3,3,3,3,2,3,2,3,3,4,2,4,4,2,4,3,4,2,4,4
41481593,2024/12/10 15:13,女性,20代,中国・四国・九州・沖縄地方,未婚,子どもなし,400万未満,会社員,住宅,5.6,6,5.25,-1.625,6,6,6,6.5,6.125,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,5,4,5,4,5,5,5,5,5,5,4,5,3,4,5,4,4,5,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,2,5,3,3,5
44491323,2024/12/10 17:27,女性,20代,近畿地方,未婚,子どもなし,400万未満,会社員,住宅,4.6,5.25,3.875,-1.75,4.5,4.5,4.5,5,4.625,4,4,4,2,4,4,4,5,5,4,3,2,3,1,1,2,4,3,3,4,3,3,4,4,3,2,5,2,5,1,5,2,5,4,4,5,4,2,4,4,5,2,4,3,3,2,1,3,4,2,3,2,3,2,1,5,5,5,4,5,2,1,1,3,2,4,5,5,5,5,2,1,3,2,5,4,2,4,1,1,4
46180416,2024/12/10 16:47,女性,20代,中国・四国・九州・沖縄地方,既婚,子どもあり,400〜800万未満,自営業・自由業,住宅,4,3,3.75,-3.125,4,5,3.5,5,4.375,3,3,2,4,2,3,2,3,3,5,3,3,3,2,2,5,3,4,2,4,1,4,2,2,3,4,4,1,4,2,1,4,3,3,3,2,4,4,1,4,2,4,2,4,4,2,1,5,2,3,1,3,1,2,3,2,3,3,3,3,2,3,2,4,2,5,2,2,2,4,2,1,3,3,1,2,1,3,2,1,5
47946419,2024/12/9 19:24,女性,20代,中部地方,未婚,子どもなし,,会社員,住宅,4.6,3.25,1.625,-4.5,1.5,3.5,1.5,2,2.125,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,5,5,5,5,5,5,4,3,2,4,4,2,4,1,4,2,4,4,3,4,2,4,2,4,4,4,5,4,4,4,2,1,1,1,1,1,4,2,4,4,4,4,4,4,4,5,4,5,5,5,4,5,5,4,3,2,4,4,4,4,2,4,4,4,4
48208024,2024/12/10 14:59,女性,20代,中国・四国・九州・沖縄地方,既婚,子どもあり,400万未満,会社員,住宅,3,3,2,-3.625,2,5,2.5,3.5,3.25,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4
49172367,2024/12/10 16:35,女性,20代,関東地方,既婚,子どもなし,400〜800万未満,会社員,住宅,3.8,3.75,3.25,-3.75,4,4,3,3,3.5,3,3,2,1,1,3,4,4,3,3,3,2,3,3,4,2,3,2,4,3,4,2,4,4,3,2,4,2,3,4,3,3,2,5,2,3,1,1,3,2,2,4,4,3,2,2,1,3,2,3,3,2,3,2,3,4,4,5,5,3,4,3,3,5,4,3,4,3,3,4,4,2,2,4,3,2,3,2,1,1,2
49657025,2024/12/10 17:01,女性,20代,関東地方,既婚,子どもなし,,会社員,住宅,5.6,4,4,-3.5,3.5,6,4,4.5,4.5,4,4,4,3,3,4,4,4,4,4,4,4,3,3,2,3,3,4,3,4,5,5,4,4,3,3,4,4,4,2,2,4,4,4,2,3,2,3,3,4,3,3,4,4,4,2,1,4,4,4,4,2,3,2,2,4,4,4,4,4,4,4,1,4,3,3,3,4,3,4,3,3,4,4,4,4,2,4,2,2,4
49813516,2024/12/10 14:39,女性,20代,近畿地方,未婚,子どもなし,400万未満,会社員,住宅,3.2,3.75,3,-3.75,4,5,1.5,3.5,3.5,4,4,4,2,2,4,4,5,4,4,4,2,2,2,2,2,5,4,4,5,5,4,4,4,2,5,5,4,5,4,4,4,5,5,2,2,1,5,2,4,2,5,4,4,4,2,4,2,2,3,2,5,4,5,4,4,5,3,5,5,4,4,4,4,3,4,2,4,4,4,4,4,5,5,5,2,4,4,2,4,4
50101065,2024/12/10 16:35,女性,20代,関東地方,未婚,子どもなし,400〜800万未満,会社員,住宅,5,5,3.5,-1.75,5,6.5,4,5.5,5.25,5,5,4,2,4,4,4,5,4,4,4,4,4,2,2,4,5,5,5,5,4,4,4,4,2,4,4,5,4,2,4,3,4,4,3,4,4,4,4,5,2,4,4,4,3,3,2,4,4,4,4,2,4,2,4,4,4,5,4,4,4,4,1,4,3,2,2,2,2,4,4,3,4,4,5,2,4,4,2,2,5
50143045,2024/12/9 18:20,女性,20代,中部地方,未婚,子どもなし,400万未満,会社員,住宅,3.2,4.25,3.125,-3.25,3.5,5,4,3.5,4,3,4,3,2,3,3,3,2,4,2,4,3,3,3,3,2,2,2,2,1,3,3,4,3,2,2,2,2,2,4,2,2,2,4,3,3,4,2,2,4,3,2,3,3,3,3,2,2,3,4,3,4,3,4,3,2,2,4,4,2,4,2,2,3,4,3,2,3,3,3,2,3,2,1,1,2,4,3,2,3,2
50437930,2024/12/9 20:55,女性,20代,北海道・東北地方,未婚,子どもなし,400万未満,会社員,住宅,2,5,3.625,-3.5,4,2.5,4,4.5,3.75,2,2,2,3,2,1,2,5,2,4,2,3,3,5,4,3,4,3,2,3,4,4,3,3,1,2,4,2,3,3,3,4,4,4,3,5,3,3,3,3,1,1,2,5,2,2,2,3,3,2,3,3,2,2,3,3,3,2,1,3,3,4,5,4,4,4,3,4,4,4,5,3,3,2,2,5,5,1,1,3,3
50441330,2024/12/10 16:27,女性,20代,北海道・東北地方,未婚,子どもあり,400万未満,会社員,住宅,1,4,2,-3.5,1,6,1,2.5,2.625,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,3,1,3,3,4,3,4,2,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1
50650147,2024/12/10 16:31,女性,20代,関東地方,未婚,子どもなし,400万未満,会社員,住宅,2.4,2.75,1.375,-1.625,5.5,3.5,1.5,1,2.875,1,2,3,3,3,3,5,2,2,1,3,2,3,3,2,1,3,4,3,2,2,3,3,2,3,1,1,1,3,2,3,3,4,3,1,4,2,2,3,2,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,3,3,5,3,5,4,2,1,3,3,3,2,2,5,3,3,3,1,1,2,4
22052370,2024/12/10 13:40,女性,20代,近畿地方,未婚,子どもなし,800～1200万未満,会社員,住宅,5,4.25,4.75,-3.875,4.5,5,4.5,2.5,4.125,4,3,3,2,5,4,3,2,2,3,4,3,3,4,2,2,4,3,5,2,4,3,1,1,4,3,4,5,4,3,3,5,3,4,3,2,2,4,4,3,3,5,3,4,3,3,3,4,4,3,2,5,3,2,3,1,2,5,3,2,4,4,4,3,5,3,3,3,4,4,3,4,5,1,4,4,3,3,3,2,4
26383201,2024/12/9 18:57,女性,20代,関東地方,未婚,子どもなし,400〜800万未満,会社員,住宅,5.2,4.75,3.75,-2.875,5,4,4.5,5,4.625,4,3,3,4,3,4,3,4,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,4,4,4,4,3,3,2,4,3,4,3,3,3,4,4,3,3,3,4,3,4,3,4,4,3,3,3,4,3,3,3,4,3,3,4,4,3,5,4,3,3,4,4,4,4,4,4,3,4,4,3,3,4,4,3,3,2,4
30777547,2024/12/10 9:28,女性,20代,関東地方,未婚,子どもなし,,会社員,住宅,3.6,5,3,-3.625,5,6.5,4,4,4.875,4,4,3,4,3,4,4,3,5,5,3,4,4,4,5,3,4,3,2,5,5,5,5,5,5,4,4,4,3,3,4,3,2,3,4,4,2,4,3,3,4,4,3,3,3,2,3,4,4,3,4,3,4,2,3,4,3,4,4,3,5,4,5,4,5,5,4,3,5,4,4,5,3,3,4,4,3,4,4,3,3
33694722,2024/12/10 14:37,女性,20代,近畿地方,未婚,子どもなし,400〜800万未満,会社員,住宅,3.8,4,3.75,-4.125,4,5,3,3.5,3.875,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,3,4,4,3,4,2,4,2,4,3,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,4,4,3,1,4,4,4,4,4,4,3,2,3,3,3,4,4,3,4,4,3,3,3,3,4,2,4,2,1,3
34433433,2024/12/10 17:38,女性,20代,関東地方,未婚,子どもなし,800～1200万未満,会社員,住宅,6,6.5,4.25,-1.875,5,5.5,5,4,4.875,4,4,5,4,5,5,5,5,5,4,5,5,5,4,3,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,1,1,5,4,5,5,4,5,4,5,4,3,4,5,4,5,3,5,5,3,2,5,5,4,5,4,4,5,5,5,5,4,3,4,5,5,5,5,5,5,4,4,5,3,4,4,4
38989923,2024/12/9 17:25,女性,20代,中部地方,既婚,子どもなし,400〜800万未満,会社員,住宅,5,5.5,3.875,-1.625,5,6.5,4.5,3.5,4.875,4,5,4,4,4,4,4,5,5,5,4,4,4,4,3,5,4,5,4,4,5,4,5,4,4,5,4,5,5,4,3,5,5,5,2,2,2,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,5,5,4,4,5,5,5,5,5,3,3,3,5,5,4,4,4,5,5,5,3,4,5,4,5,5
40543651,2024/12/10 11:50,女性,20代,中部地方,既婚,子どもなし,800～1200万未満,会社員,住宅,3.6,2.25,2.75,-3,1.5,5.5,2.5,2,2.875,2,2,1,3,3,2,4,5,4,4,2,2,2,2,2,1,3,4,4,4,4,3,3,2,2,2,3,3,2,2,4,2,5,1,2,2,2,2,1,4,2,2,4,2,2,4,4,2,4,4,2,2,2,2,5,5,4,4,4,4,4,2,1,2,3,3,5,4,3,5,4,2,2,2,5,4,2,4,1,1,5
43657989,2024/12/9 16:27,女性,20代,中部地方,既婚,子どもなし,400〜800万未満,会社員,住宅,4.2,2.75,3.75,-3.625,5,4,3.5,3,3.875,3,2,4,4,4,3,3,3,3,3,5,4,4,4,5,3,4,3,2,3,3,4,3,2,3,2,3,2,1,2,2,2,3,3,3,3,2,2,1,4,3,2,1,4,3,4,3,3,3,2,4,4,3,3,3,4,3,4,4,2,3,2,3,3,2,4,4,3,2,3,3,2,4,3,5,4,3,3,3,3,1
44590417,2024/12/10 14:38,女性,20代,中国・四国・九州・沖縄地方,既婚,子どもなし,,会社員,住宅,5,4.25,3.375,-2.625,5,6,6.5,5,5.625,4,4,4,3,5,5,4,5,4,4,5,4,4,2,2,4,4,4,4,4,4,4,4,4,3,3,4,2,4,5,2,3,4,5,3,4,3,2,4,4,3,4,4,4,4,1,1,4,4,2,3,2,3,4,2,4,5,5,4,5,5,2,1,3,1,2,4,4,5,4,3,2,4,4,4,3,3,5,1,5,4
